Part Number,Part Description,Manufacturer Part Number,Qty
1,Custom Motor Mount,Pensa 001,1
2,Custom Feed Assembly,,1
3,Custom Solenoid Mount,Pensa 002,1
4,Custom Bender Head,Pensa 003,1
5,Custom Straightener Wheel,Pensa 004,8
6,Custom Motor Bracket,Pensa 005,1
7,5 VDC Relay Switch,JZC-11F,1
8,2 Phase Stepper Motor,Oriental PK264A2A-SG10,3
9,Stepper Motor Driver,Oriental CD2120P,3
10,24V Power Supply,Mean Well RS-150-24,1
11,5/8'' Steel Round Tube,McMaster 89955K28,1
12,5/8'' Pillow Block Bearing,McMaster 3813T3,2
13,5/8'' Base Mount Shaft Support,McMaster 1865K4,2
14,Arduino Uno,Arduino A000046,1
15,24VDC Linear Pull Solenoid,McMaster 70155K52,1
16,Solderless Breadboard,PRT-00137,1
17,2.25'' 14-1/2° Pressure Angle Spur Gear,McMaster 57655K58,3
18,3/4'' 14-1/2° Pressure Angle Spur Gear,McMaster 6867K38,1
19,1/8''Light Weight Aluminum Wire Spool,McMaster 8904K56,1
